"amount","customerId","paymentDate","paymentId","rentalId","staffId"
"7","341","2007-02-15","17503","1520","2"
"1","341","2007-02-16","17504","1778","1"
"7","341","2007-02-16","17505","1849","1"
"2","341","2007-02-19","17506","2829","2"
"7","341","2007-02-20","17507","3130","2"
"5","341","2007-02-21","17508","3382","1"
"5","342","2007-02-17","17509","2190","2"
"5","342","2007-02-20","17510","2914","1"
"2","342","2007-02-20","17511","3081","1"
"4","343","2007-02-16","17512","1547","2"
"6","343","2007-02-16","17513","1564","1"
"0","343","2007-02-17","17514","1879","2"
"0","343","2007-02-17","17515","1922","2"
"6","343","2007-02-18","17516","2461","2"
"8","343","2007-02-20","17517","2980","1"
"0","343","2007-02-21","17518","3407","1"
"3","344","2007-02-15","17519","1341","1"
"4","344","2007-02-15","17520","1475","2"
"0","344","2007-02-16","17521","1731","1"
"0","345","2007-02-15","17522","1210","2"
"4","345","2007-02-15","17523","1457","1"
"0","345","2007-02-16","17524","1550","2"
"4","345","2007-02-19","17525","2766","2"
"5","346","2007-02-17","17526","1994","1"
"2","346","2007-02-21","17527","3372","2"
"2","346","2007-02-21","17528","3421","1"
"8","347","2007-02-16","17529","1711","2"
"0","347","2007-02-18","17530","2274","2"
"4","347","2007-02-20","17531","3026","1"
"8","347","2007-02-20","17532","3092","1"
"7","347","2007-02-21","17533","3326","1"
"2","348","2007-02-16","17534","1654","1"
"8","348","2007-02-17","17535","2041","1"
"0","348","2007-02-18","17536","2499","2"
"2","349","2007-02-15","17537","1197","1"
"0","349","2007-02-15","17538","1523","1"
"6","349","2007-02-20","17539","2987","2"
"8","349","2007-02-20","17540","3067","1"
"3","350","2007-02-17","17541","2011","2"
"0","350","2007-02-19","17542","2619","1"
"2","350","2007-02-20","17543","3079","1"
"0","350","2007-02-20","17544","3206","2"
"5","351","2007-02-16","17545","1792","2"
"0","351","2007-02-17","17546","1869","1"
"2","351","2007-02-19","17547","2759","1"
"0","352","2007-02-15","17548","1498","1"
"4","352","2007-02-16","17549","1649","1"
"4","352","2007-02-16","17550","1678","1"
"4","352","2007-02-16","17551","1780","1"
"4","352","2007-02-21","17552","3331","2"
"2","353","2007-02-15","17553","1359","2"
"7","353","2007-02-17","17554","1928","2"
"6","353","2007-02-21","17555","3233","2"
"0","354","2007-02-15","17556","1491","1"
"4","354","2007-02-18","17557","2275","1"
"6","354","2007-02-19","17558","2769","1"
"2","354","2007-02-20","17559","3139","1"
"0","355","2007-02-15","17560","1488","2"
"2","355","2007-02-16","17561","1612","1"
"0","356","2007-02-15","17562","1410","1"
"2","356","2007-02-18","17563","2405","1"
"4","356","2007-02-18","17564","2433","1"
"5","357","2007-02-15","17565","1246","2"
"1","357","2007-02-16","17566","1788","1"
"1","357","2007-02-17","17567","1971","2"
"6","357","2007-02-17","17568","2153","2"
"2","358","2007-02-15","17569","1455","1"
"0","358","2007-02-17","17570","1908","2"
"5","358","2007-02-17","17571","2114","1"
"2","358","2007-02-19","17572","2721","1"
"2","358","2007-02-19","17573","2749","1"
"2","358","2007-02-21","17574","3245","1"
"4","359","2007-02-15","17575","1329","2"
"1","359","2007-02-16","17576","1770","2"
"0","359","2007-02-18","17577","2401","1"
"4","359","2007-02-19","17578","2736","1"
"0","360","2007-02-15","17579","1492","2"
"6","360","2007-02-18","17580","2402","2"
"3","360","2007-02-19","17581","2541","2"
"6","360","2007-02-19","17582","2780","2"
"4","361","2007-02-18","17583","2353","2"
"1","361","2007-02-19","17584","2558","2"
"2","361","2007-02-19","17585","2851","1"
"2","361","2007-02-21","17586","3303","2"
"2","362","2007-02-15","17587","1429","1"
"2","362","2007-02-15","17588","1529","1"
"2","362","2007-02-16","17589","1615","1"
"2","362","2007-02-20","17590","3197","2"
"2","362","2007-02-21","17591","3393","2"
"4","363","2007-02-15","17592","1426","2"
"4","363","2007-02-16","17593","1569","2"
"4","363","2007-02-16","17594","1847","1"
"4","363","2007-02-19","17595","2540","1"
"2","363","2007-02-21","17596","3281","2"
"2","364","2007-02-16","17597","1722","1"
"2","364","2007-02-18","17598","2442","2"
"4","364","2007-02-19","17599","2606","2"
"4","364","2007-02-19","17600","2857","2"
"3","364","2007-02-20","17601","2962","2"
"1","365","2007-02-15","17602","1303","1"
"6","365","2007-02-16","17603","1578","1"
"4","365","2007-02-17","17604","1983","1"
"2","365","2007-02-18","17605","2525","1"
"0","365","2007-02-20","17606","3156","2"
"1","366","2007-02-15","17607","1401","2"
"0","366","2007-02-18","17608","2214","2"
"0","367","2007-02-20","17609","3078","1"
"0","368","2007-02-14","17610","1186","1"
"9","368","2007-02-15","17611","1513","1"
"4","368","2007-02-18","17612","2531","1"
"4","368","2007-02-19","17613","2694","1"
"4","368","2007-02-19","17614","2744","1"
"4","368","2007-02-21","17615","3275","2"
"0","369","2007-02-15","17616","1224","1"
"6","370","2007-02-14","17617","1190","2"
"2","371","2007-02-15","17618","1212","2"
"1","371","2007-02-15","17619","1218","1"
"6","371","2007-02-16","17620","1573","1"
"5","371","2007-02-16","17621","1675","2"
"0","371","2007-02-19","17622","2837","2"
"3","371","2007-02-20","17623","3176","1"
"0","371","2007-02-21","17624","3396","2"
"2","372","2007-02-18","17625","2315","1"
"4","372","2007-02-20","17626","2959","1"
"3","372","2007-02-21","17627","3283","1"
"6","373","2007-02-15","17628","1472","1"
"2","373","2007-02-20","17629","3161","1"
"1","374","2007-02-16","17630","1548","1"
"1","374","2007-02-17","17631","2046","2"
"4","374","2007-02-18","17632","2487","2"
"2","374","2007-02-19","17633","2641","2"
"2","375","2007-02-15","17634","1404","2"
"5","375","2007-02-15","17635","1499","1"
"4","375","2007-02-18","17636","2236","1"
"0","376","2007-02-15","17637","1208","2"
"0","376","2007-02-19","17638","2779","1"
"3","377","2007-02-19","17639","2556","2"
"1","377","2007-02-20","17640","3080","1"
"0","377","2007-02-20","17641","3086","2"
"2","377","2007-02-20","17642","3136","2"
"4","377","2007-02-21","17643","3443","2"
"4","378","2007-02-16","17644","1623","2"
"5","378","2007-02-16","17645","1662","1"
"7","378","2007-02-17","17646","2134","2"
"4","378","2007-02-19","17647","2713","2"
"8","379","2007-02-15","17648","1383","1"
"5","379","2007-02-18","17649","2313","1"
"2","379","2007-02-20","17650","2926","1"
"3","380","2007-02-17","17651","1868","1"
"2","380","2007-02-17","17652","1984","1"
"3","380","2007-02-17","17653","2018","1"
"2","380","2007-02-18","17654","2440","1"
"4","380","2007-02-18","17655","2464","1"
